Type_ko,Type_eng,Name_ko,Name_engImage URL
에스프레소,Espresso,에스프레소,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[20]_20210415144112678.jpg
에스프레소,Espresso,커피 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110611]_20210415132507539.jpg
에스프레소,Espresso,클래식 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001631]_20210225090916684.jpg
에스프레소,Espresso,헤이즐넛 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110614]_20210415132333109.jpg
프라푸치노,Frappuccino,에스프레소 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168007]_20210415144337428.jpg
프라푸치노,Frappuccino,자바 칩 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168016]_20210415154152122.jpg
프라푸치노,Frappuccino,카라멜 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168010]_20210415154711116.jpg
프라푸치노,Frappuccino,화이트 초콜릿 모카 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168013]_20210415155746379.jpg
프라푸치노,Frappuccino,제주 까망 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000002088]_20200921171733532.jpg
프라푸치노,Frappuccino,제주 쑥떡 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9200000002090]_20220329144732789.jpg
프라푸치노,Frappuccino,제주 유기농 말차로 만든 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002502]_20210426100408048.jpg
프라푸치노,Frappuccino,초콜릿 크림 칩 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168066]_20210415154429750.jpg
프라푸치노,Frappuccino,피스타치오 아보카도 초콜릿 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9200000004713]_20230524144814035.jpg
프라푸치노,Frappuccino,화이트 타이거 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002403]_20210419131548656.jpg
블랜디드,Blended,망고 패션 티 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/02/[9200000004512]_20230207150514347.jpg
블랜디드,Blended,북한산 레몬 얼 그레이 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004716]_20231115093249233.jpg
블랜디드,Blended,스타벅스 클래식 밀크티 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004945]_20231205083518102.jpg
블랜디드,Blended,여수 바다 유자 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004870]_20230905110300360.jpg
블랜디드,Blended,딸기 딜라이트 요거트 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003276]_20210416154001403.jpg
블랜디드,Blended,망고 바나나 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[169001]_20210419130701792.jpg
블랜디드,Blended,코튼 스카이 요거트 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004871]_20230922091835355.jpg
블랜디드,Blended,피치 요거트 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9200000004717]_20230524144903032.jpg
리프레셔,Starbucks Refreshers,딸기 아사이 레모네이드 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004753]_20230720103623021.jpg
리프레셔,Starbucks Refreshers,딸기 아사이 레모네이드 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/[9200000003763]_20220803131322551.jpg
리프레셔,Starbucks Refreshers,망고 용과 레모네이드 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004439]_20230710134159744.jpg
리프레셔,Starbucks Refreshers,퍼플 드링크 위드 망고 용과 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004442]_20230710134637578.jpg
리프레셔,Starbucks Refreshers,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/[9200000003766]_20220803130957907.jpg
피지오,Starbucks Fizzio,레드 애플 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004949]_20231005084714271.jpg
피지오,Starbucks Fizzio,아이스크림 레드 애플 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004948]_20240103144748363.jpg
피지오,Starbucks Fizzio,여수 바다 자몽 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004751]_20230907153225204.jpg
피지오,Starbucks Fizzio,유자 패션 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9200000004121]_20220517102911610.jpg
피지오,Starbucks Fizzio,제주팔삭 셔벗 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004946]_20240103144959834.jpg
피지오,Starbucks Fizzio,제주팔삭 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004947]_20231005084610514.jpg
피지오,Starbucks Fizzio,쿨 라임 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[107051]_20210419112151972.jpg
피지오,Starbucks Fizzio,피치 딸기 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9200000004567]_20230524144959475.jpg
티바나,Teavana,리프레싱 자몽 캐모마일 티,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004967]_20240118105850397.jpg
티바나,Teavana,아이스 리프레싱 자몽 캐모마일 티,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004970]_20240118105951124.jpg
티바나,Teavana,민트 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000056]_20210415135215632.jpg
티바나,Teavana,아이스 민트 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000059]_20210415141656038.jpg
티바나,Teavana,아이스 얼 그레이 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000039]_20210415142055860.jpg
티바나,Teavana,아이스 유스베리 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000229]_20210415142219481.jpg
티바나,Teavana,아이스 유자 민트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002959]_20220411155904911.jpg
티바나,Teavana,아이스 잉글리쉬 브렉퍼스트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000019]_20210415142323353.jpg
티바나,Teavana,아이스 제주 유기 녹차,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[400400000094]_20210415230316469.jpg
티바나,Teavana,아이스 제주팔삭 & 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004944]_20231005084446254.jpg
티바나,Teavana,아이스 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000079]_20210415143641139.jpg
티바나,Teavana,아이스 히비스커스 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000069]_20210415143811231.jpg
티바나,Teavana,얼 그레이 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000036]_20210415143933425.jpg
티바나,Teavana,유스베리 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000226]_20210415144434521.jpg
티바나,Teavana,유자 민트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002956]_20220411155551915.jpg
티바나,Teavana,잉글리쉬 브렉퍼스트 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000016]_20210415153648533.jpg
티바나,Teavana,자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000187]_20210419131229539.jpg
티바나,Teavana,제주 유기 녹차,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[400400000091]_20210415132229904.jpg
티바나,Teavana,제주팔삭 & 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004943]_20231005084424843.jpg
티바나,Teavana,캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000076]_20210415154920731.jpg
티바나,Teavana,히비스커스 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[4004000000066]_20210415155836395.jpg
티바나,Teavana,레드 파워 패션 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/04/[9200000004566]_20230407153247174.jpg
티바나,Teavana,레몬 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004990]_20231212110704134.jpg
티바나,Teavana,아이스 레몬 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004991]_20231212110749533.jpg
티바나,Teavana,아이스 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000190]_20210419131723532.jpg
티바나,Teavana,아이스 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004769]_20230720103743478.jpg
티바나,Teavana,돌체 블랙 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9200000002963]_20220203082330522.jpg
티바나,Teavana,말차 티라미수 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004954]_20231127093740735.jpg
티바나,Teavana,스노우 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004988]_20231212110855121.jpg
티바나,Teavana,스타벅스 클래식 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004933]_20230914141717984.jpg
티바나,Teavana,스타벅스 클래식 밀크 티 보틀,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004942]_20231005093131816.jpg
티바나,Teavana,아이스 돌체 블랙 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9200000002966]_20220203082502987.jpg
티바나,Teavana,아이스 말차 티라미수 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004955]_20231127093837610.jpg
티바나,Teavana,아이스 스노우 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004989]_20231212110950941.jpg
티바나,Teavana,아이스 스타벅스 클래식 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004936]_20230914141811407.jpg
티바나,Teavana,아이스 얼 그레이 바닐라 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/[9200000004288]_20230118085139616.jpg
티바나,Teavana,아이스 제주 유기농 말차로 만든 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002499]_20210419130902541.jpg
티바나,Teavana,아이스 차이 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[135612]_20210415142512793.jpg
티바나,Teavana,얼 그레이 바닐라 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/[9200000004285]_20230118084943128.jpg
티바나,Teavana,제주 유기농 말차로 만든 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002496]_20210419131039350.jpg
티바나,Teavana,차이 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[135608]_20210415154244810.jpg
기타,Others,스타벅스 딸기 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004939]_20240131095204827.jpg
기타,Others,아이스 화이트 타로 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000005091]_20240118105744119.jpg
기타,Others,화이트 타로 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000005088]_20240118105532506.jpg
기타,Others,딸기 콜드폼 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004950]_20231204090636952.jpg
기타,Others,시그니처 핫 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[72]_20210415140949967.jpg
기타,Others,아이스 시그니처 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110621]_20210415140901611.jpg
기타,Others,아이스 티라미수 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004953]_20231127094019543.jpg
기타,Others,티라미수 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004952]_20231127093937845.jpg
기타,Others,플러피 판다 아이스 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003658]_20210422080248176.jpg
기타,Others,플러피 판다 핫 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002594]_20210422080327783.jpg
기타,Others,딸기 콜드폼 딸기 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004951]_20231102101647442.jpg
기타,Others,스타벅스 슬래머,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003659]_20210428134252131.jpg
기타,Others,스팀 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[17]_20210426095334934.jpg
기타,Others,아이스 제주 까망 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000001302]_20200921171804529.jpg
기타,Others,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[18]_20210426095514018.jpg
기타,Others,제주 까망 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000001301]_20200921171639781.jpg
기타,Others,제주팔삭 셔벗,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9200000004957]_20231005084829402.jpg
병음료,RTD,필 더 그린 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004348]_20220921102420365.jpg
병음료,RTD,필 더 레드 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004346]_20220921130442019.jpg
병음료,RTD,필 더 옐로우 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004347]_20220921130952276.jpg
병음료,RTD,딸기주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008070]_20210426095034991.jpg
병음료,RTD,망고주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008061]_20210426095229362.jpg
병음료,RTD,스타 루비 자몽 스위트 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003773]_20211020094026246.jpg
병음료,RTD,유기농 오렌지 100% 주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003771]_20211020093812909.jpg
병음료,RTD,유기농 오렌지 100% 주스 591ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003772]_20211020095105008.jpg
병음료,RTD,케일&사과주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008072]_20210426100712780.jpg
병음료,RTD,핑크 용과 레모네이드 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003776]_20211020094321785.jpg
병음료,RTD,한라봉주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2023/03/[5210008055]_20230331142558998.jpg
병음료,RTD,햇사과 주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002565]_20210426102753285.jpg
병음료,RTD,햇사과 주스 591ML,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9300000004407]_20221027102828231.jpg
병음료,RTD,딸기 가득 요거트 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003775]_20211020094208342.jpg
병음료,RTD,블루베리 요거트 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008063]_20210419104847612.jpg
